outflow,temp,(pH(-)),BOD,COD,SS,T-N,T-P,Escherichia coli
1948,24,7.1,1.2,5.4,0.5,4.066,0.019,63
1513,24.1,7.4,1.4,5.4,1,5.295,0.052,79
1452,24.1,7.4,1.2,5.5,1,6.466,0.047,68
1661,23.9,7,0.6,6.3,1,4.024,0.02,72
1353,24.3,7.2,0.4,5,1.5,3.84,0.017,69
1375,23.8,7.4,1.4,6,2,4.565,0.056,70
1809,22.8,7.5,1.4,6.6,1,4.065,0.078,69
1490,24.3,7.3,0.4,6.4,1.5,4.188,0.143,66
1588,23.5,7.3,0.8,7.2,2.1,5.121,0.164,62
1685,24.4,7.2,0.4,7.1,1.7,5.491,0.103,61
1530,24.2,7,0.3,5.6,0.5,4.23,0.077,56
1650,24.3,7.1,0.7,5.8,1,4.426,0.063,50
1669,24.2,7,0.8,6.2,1.5,5.598,0.112,56
1324,23.5,7.1,0.3,5.9,2,5.582,0.088,51
1493,23.4,7.1,0.5,6.9,2,7.412,0.145,66
1506,23.7,7.4,0.5,6.3,2.1,7.149,0.099,53
1290,23.3,7,0.8,7.1,1.5,6.38,0.066,51
1660,23.6,7.4,0.9,6.1,2,8.06,0.088,50
1308,22.3,7.1,1.3,5.4,1,6.371,0.052,50
1703,22.4,7.1,1.2,6.3,1.5,6.159,0.057,49
1459,22.1,7.1,0.4,6.2,2,4.924,0.094,64
1658,22.2,7.1,0.2,6.2,2.5,5.55,0.097,79
1348,22.2,7.1,0.9,6.2,2.5,5.683,0.065,87
1232,22.1,7,0.4,6.5,2.5,5.785,0.075,86
1604,21.9,7,0.7,6.8,2.5,6.082,0.016,78
1279,22.7,7.6,1.1,6.3,4.5,8.24,0.146,72
1452,23.3,7.2,1.4,6.3,2.5,4.909,0.057,63
1439,23.5,7.1,1.2,6.7,2.5,3.424,0.075,71
1508,22.8,7,1.2,5.6,2,3.796,0.064,69
1214,22.7,7,0.3,5.7,1.8,4.581,0.043,71
1518,22.5,7,1.2,6.2,3,4.183,0.046,69
1734,22.4,6.9,1.2,7,1,4.098,0.048,67
1927,23,7.6,0.7,6.5,2.5,3.168,0.013,80
1599,22.1,7.5,1,6.5,2.5,4.965,0.04,64
1966,22.7,6.9,0.5,6.2,1.6,3.815,0.005,71
1562,22.6,6.9,1.2,6.8,1,6.101,0.039,61
1673,21.5,7.3,0.7,7.6,3.5,6.722,0.033,60
1569,21.7,7,0.6,7.5,1.5,3.697,0.013,63
1350,21.1,7,0.6,6.4,2,4.035,0.033,65
1172,22.3,6.9,0.2,6.9,0.5,4.22,0.026,65
1483,22,7,0.6,6.8,1.5,5.433,0.022,60
1189,21.9,6.9,0.5,7.4,1.5,5.099,0.018,73
1800,21.6,6.9,0.4,6.7,1.5,4.891,0.051,64
1852,21.2,7.1,0.6,7,1.5,3.761,0.046,72
1801,21,7,0.7,6,3,3.378,0.011,66
1920,21.1,7,0.7,5.3,1.5,2.098,0.016,64
1598,20.5,7,0.8,5.2,1.5,5.185,0.06,65
1157,20.5,7,0.6,5.7,1.2,5.284,0.059,64
1638,20.4,7,0.3,5.9,2,3.674,0.068,66
1678,21,7.3,0.7,6.1,1.9,4.711,0.039,66
